date,mode,equity,day_pl,drawdown
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,87615.78,-0.12384,-0.12384
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,87615.78,-0.12384,-0.12384
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,87615.78,-0.12384,-0.12384
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-18,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,100000.0,0.0,0.0
2026-06-19,PAPER,85138.94,-0.14861,-0.14861
2026-06-19,PAPER,99999.65,0.0,0.0
2026-06-19,PAPER,99999.65,0.0,0.0
2026-06-20,PAPER,99999.65,0.0,0.0
2026-06-21,PAPER,99999.65,0.0,0.0
2026-06-22,PAPER,99999.65,0.0,0.0
2026-06-23,PAPER,99152.89,0.0,-0.00847
2026-06-24,PAPER,98294.39,0.0,-0.01705
2026-06-25,PAPER,98592.49,0.0,-0.01407
2026-06-26,PAPER,98374.59,0.0,-0.01625
2026-06-27,PAPER,98144.19,0.0,-0.01855
2026-06-28,PAPER,98144.19,0.0,-0.01855
2026-06-29,PAPER,98323.77,0.0,-0.01676
2026-06-30,PAPER,98662.53,0.0,-0.01337
2026-07-01,PAPER,98535.86,0.0,-0.01464
2026-07-02,PAPER,98465.92,0.0,-0.01534
2026-07-03,PAPER,98605.99,0.0,-0.01394
2026-07-04,PAPER,98605.99,0.0,-0.01394
2026-07-05,PAPER,98605.99,0.0,-0.01394
2026-07-06,PAPER,100094.83,0.0,0.0
2026-07-07,PAPER,100027.77,0.0,-0.00067
2026-07-08,PAPER,100077.7,0.0,-0.00017
2026-07-09,PAPER,100523.35,0.0,0.0
2026-07-10,PAPER,100644.46,0.0,0.0
2026-07-11,PAPER,100726.11,0.0,0.0
2026-07-12,PAPER,100726.11,0.0,0.0
2026-07-13,PAPER,100951.33,0.0,0.0
2026-07-14,PAPER,101294.95,0.0,0.0
2026-07-15,PAPER,101521.97,0.0,0.0
2026-07-16,PAPER,101223.01,0.0,-0.00294
2026-07-17,PAPER,101494.76,0.0,-0.00027
2026-07-18,PAPER,101395.04,0.0,-0.00125
2026-07-19,PAPER,101395.04,0.0,-0.00125
2026-07-20,PAPER,101779.76,0.0,0.0
2026-07-21,PAPER,102591.36,0.0,0.0
